generation,best_fitness,mean_fitness,std_fitness,best_tree_size,mean_tree_size,population_size,survived_agents,crashed_agents,agent_survival_rate,agent_crash_rate,total_episodes,survived_episodes,crashed_episodes,episode_survival_rate,episode_crash_rate,mean_episode_score,std_episode_score,validation_best_score,validation_best_mean,validation_best_std,validation_best_survival_rate,best_validation_score_so_far
102,3911.0009393398805,-533.5407640130404,5890.532978959433,45,51.0,128,0,128,0.0,1.0,2560,1359,1201,0.530859375,0.469140625,-26.649612419402025,329.51504229654427,868.2600536166134,86.82600536166134,133.9446976015443,0.4,2210.1805713845533
103,3911.0009393398805,-196.14082241870318,5902.379984688576,45,50.4921875,128,0,128,0.0,1.0,2560,1477,1083,0.576953125,0.423046875,-9.781994245935156,340.3997633565216,332.0029485726269,33.20029485726269,190.1670655888652,0.4,2210.1805713845533
104,3911.0009393398805,-387.9222627482349,6467.185222599997,45,50.2890625,128,0,128,0.0,1.0,2560,1465,1095,0.572265625,0.427734375,-19.37326548116173,367.4880262112601,790.5826809013555,79.05826809013556,138.87661513018313,0.6,2210.1805713845533
105,3911.0009393398805,-886.1694994951538,6280.889529661775,45,49.265625,128,0,128,0.0,1.0,2560,1428,1132,0.5578125,0.4421875,-44.2865218497577,354.35655138198194,1217.1685301186392,121.71685301186389,99.71849855418508,0.8,2210.1805713845533
106,3911.0009393398805,-910.0301465515058,6208.749251991772,45,47.671875,128,0,128,0.0,1.0,2560,1363,1197,0.532421875,0.467578125,-45.4763120150753,358.40620745460603,408.15376469511637,40.815376469511634,96.63257993785344,0.5,2210.1805713845533
107,3911.0009393398805,-1066.71281280982,6040.820869795468,45,45.1796875,128,0,128,0.0,1.0,2560,1322,1238,0.51640625,0.48359375,-53.311371109240994,337.2229383035654,924.3584011204856,92.43584011204857,126.50688332080973,0.6,2210.1805713845533
108,3911.0009393398805,102.71732244195181,5559.914845300472,45,45.15625,128,0,128,0.0,1.0,2560,1507,1053,0.588671875,0.411328125,5.1598622158475935,307.7533765809416,1126.6434982484793,112.66434982484793,104.00381360230952,0.6,2210.1805713845533
109,3911.0009393398805,120.4470440387004,5597.1085244265805,45,44.0625,128,0,128,0.0,1.0,2560,1513,1047,0.591015625,0.408984375,6.0435318894350205,304.66787593257885,773.5874618935636,77.35874618935637,127.55384346233659,0.5,2210.1805713845533
110,3911.244707946903,-340.4924087230349,5758.79836666913,45,44.328125,128,0,128,0.0,1.0,2560,1428,1132,0.5578125,0.4421875,-17.002749342401742,322.4441956551604,1253.7880434711349,125.37880434711349,138.30099806229495,0.7,2210.1805713845533
111,3911.244707946903,-527.0097471957869,6123.870809368092,45,45.2265625,128,0,128,0.0,1.0,2560,1425,1135,0.556640625,0.443359375,-26.324967828539343,345.34447387068934,1003.6058716838196,100.36058716838198,123.47921833514977,0.5,2210.1805713845533
112,3911.5056808450245,-332.13173184387693,5785.243191379156,51,45.921875,128,0,128,0.0,1.0,2560,1432,1128,0.559375,0.440625,-16.584152998443848,318.10144988186573,1467.328315398734,146.73283153987342,81.7739317237705,0.7,2210.1805713845533
113,3911.5056808450245,-85.74163929279771,5624.8168166138485,51,45.796875,128,0,128,0.0,1.0,2560,1467,1093,0.573046875,0.426953125,-4.261894464639885,314.1018879134819,838.5554139458809,83.85554139458807,107.91279666427043,0.7,2210.1805713845533
114,3911.5056808450245,-560.1867552128182,6833.343272712023,51,46.0546875,128,0,128,0.0,1.0,2560,1492,1068,0.5828125,0.4171875,-27.98304088564091,392.36362316627816,944.7488822375732,94.47488822375732,133.5616046204895,0.6,2210.1805713845533
115,3911.5056808450245,-610.6190765092241,5834.386775839138,51,48.1953125,128,0,128,0.0,1.0,2560,1413,1147,0.551953125,0.448046875,-30.509360075461206,331.55302801201145,1137.7059367725906,113.77059367725906,134.74810081566383,0.6,2210.1805713845533
